,0
0,"['Music', 'Genre', 'Classification', 'is', 'one', 'of', 'the', 'interesting', 'digital', 'music', 'processing', 'topics', '.', 'Genre', 'is', 'a', 'category', 'of', 'artistry', ',', 'in', 'this', 'case', ',', 'especially', 'music', ',', 'to', 'characterize', 'and', 'categorize', 'music', 'is', 'now', 'available', 'in', 'various', 'forms', 'and', 'sources', '.', 'One', 'of', 'the', 'applications', 'is', 'in', 'determining', 'the', 'music', 'genre', 'classification', 'on', 'folk', 'songs', 'and', 'dangdut', 'songs', '.', 'The', 'main', 'problem', 'in', 'the', 'classification', 'music', 'genre', 'is', 'to', 'find', 'a', 'combination', 'of', 'features', 'and', 'classifiers', 'that', 'can', 'provide', 'the', 'best', 'result', 'in', 'classifying', 'music', 'files', 'into', 'music', 'genres', '.', 'So', 'we', 'need', 'to', 'develop', 'methods', 'and', 'algorithms', 'that', 'can', 'classify', 'genres', 'appropriately', '.', 'This', 'problem', 'can', 'be', 'solved', 'by', 'using', 'the', 'Support', 'Vector', 'Machine', '(', 'SVM', ')', '.', 'The', 'genre', 'classification', 'process', 'begins', 'by', 'selecting', 'the', 'song', 'file', 'that', 'will', 'be', 'classified', 'by', 'the', 'genre', ',', 'then', 'the', 'preprocessing', 'process', ',', 'the', 'collection', 'features', 'by', 'utilizing', 'feature', 'extraction', ',', 'and', 'the', 'last', 'process', 'is', 'Support', 'Vector', 'Machine', '(', 'SVM', ')', 'classification', 'process', 'to', 'produce', 'genre', 'types', 'from', 'selected', 'song', 'files', '.', 'The', 'final', 'result', 'of', 'this', 'research', 'is', 'to', 'classify', 'Indonesian', 'folk', 'music', 'genre', 'and', 'dangdut', 'music', 'genre', 'along', 'with', 'the', '83.3', '%', 'accuracy', 'values', 'that', 'indicate', 'the', 'level', 'of', 'system', 'relevance', 'to', 'the', 'results', 'of', 'music', 'genre', 'classification', 'and', 'to', 'provide', 'genre', 'labels', 'on', 'music', 'files', 'as', 'to', 'facilitate', 'the', 'management', 'and', 'search', 'of', 'music', 'files', '.']"
1,"['This', 'paper', 'examines', 'the', 'opinion', 'of', 'student', 'candidate', 'about', 'their', 'plan', 'to', 'study', 'further', 'to', 'master', 'degree', '(', 'S2', ')', 'and', 'doctoral', 'degree', '(', 'S3', ')', '.', 'There', 'is', 'lack', 'of', 'approach', 'in', 'finding', 'public', 'opinion', 'about', 'the', 'interest', 'of', 'student', 'candidate', 'in', 'continuing', 'study', 'to', 'higher', 'level', 'such', 'as', 'master', 'degree', 'or', 'doctoral', 'degree', '.', 'Through', 'this', 'paper', ',', 'the', 'Twitter', '’', 's', 'user', 'opinions', 'are', 'extracted', 'using', 'certain', 'data', 'mining', 'technique', 'to', 'find', 'out', 'three', 'sentiment', 'types', '(', 'negative', ',', 'neutral', ',', 'and', 'positive', ')', 'by', 'taking', 'the', 'most', 'dominant', 'type', 'of', 'emotions', '(', 'i.e.', ',', 'anger', ',', 'anticipation', ',', 'love', ',', 'fear', ',', 'joy', ',', 'sadness', ',', 'surprise', ',', 'trust', ')', '.', 'The', 'dataset', 'is', 'divided', 'into', 'two', 'groups', 'of', 'Twitter', '’', 's', 'users', '.', 'Both', 'datasets', 'represent', 'group', 'A', 'those', 'opinion', 'is', 'about', 'continuing', 'study', 'further', 'to', 'master', 'degree', 'versus', 'group', 'B', 'whose', 'continuing', 'to', 'doctoral', 'degree', '.', 'The', 'groups', 'are', 'then', 'divided', 'into', 'three', 'types', 'of', 'sentiment', 'statements', 'about', 'master', 'degree', 'versus', 'doctoral', 'degree', '.', 'The', 'first', 'group', 'is', 'their', 'sentiment', 'about', 'continuing', 'study', 'further', 'to', 'master', 'degree', 'with', 'the', 'result', ':', '(', 'a', ')', '109', 'negative', 'tweets', ',', '1683', 'neutral', 'tweets', 'and', '131', 'positive', 'tweets', '.', 'For', 'the', 'second', 'group', '(', 'e.g.', ',', 'student', '’', 's', 'sentiments', 'about', 'continuing', 'to', 'doctoral', 'degree', ')', ',', 'it', 'has', 'results', ':', '(', 'a', ')', '421', 'negative', 'tweets', ',', '7666', 'neutral', 'tweets', 'and', '1805', 'positive', 'tweets', '.', 'The', 'data', 'are', 'tested', 'to', 'give', 'accuracy', 'value', 'of', '85', '%', '.', 'The', 'result', 'of', 'this', 'sentiment', 'analysis', 'is', 'useful', 'as', 'a', 'reference', 'for', 'universities', 'to', 'understand', 'the', 'development', 'of', 'sentiments', '(', 'opinion', ')', 'from', 'Twitter', '’', 's', 'users', 'and', 'help', 'the', 'institutions', 'to', 'improve', 'their', 'reputation', 'and', 'quality', '.']"
2,"['Instagram', '(', 'IG', ')', 'is', 'a', 'web-based', 'and', 'mobile', 'social', 'media', 'application', 'where', 'users', 'can', 'share', 'photos', 'or', 'videos', 'with', 'available', 'features', '.', 'Upload', 'photos', 'or', 'videos', 'with', 'captions', 'that', 'contain', 'an', 'explanation', 'of', 'the', 'photo', 'or', 'video', 'that', 'can', 'reap', 'spam', 'comments', '.', 'Comments', 'on', 'spam', 'containing', 'comments', 'that', 'are', 'not', 'relevant', 'to', 'the', 'caption', 'and', 'photos', '.', 'The', 'problem', 'that', 'arises', 'when', 'identifying', 'spam', 'is', 'non-spam', 'comments', 'are', 'more', 'dominant', 'than', 'spam', 'comments', 'so', 'that', 'it', 'leads', 'to', 'the', 'problem', 'of', 'the', 'imbalanced', 'dataset', '.', 'A', 'balanced', 'dataset', 'can', 'influence', 'the', 'performance', 'of', 'a', 'classification', 'method', '.', 'This', 'is', 'the', 'focus', 'of', 'research', 'related', 'to', 'the', 'implementation', 'of', 'the', 'CNB', 'method', 'in', 'dealing', 'with', 'imbalance', 'datasets', 'for', 'the', 'detection', 'of', 'Instagram', 'spam', 'comments', '.', 'The', 'study', 'used', 'TF-IDF', 'weighting', 'with', 'Support', 'Vector', 'Machine', '(', 'SVM', ')', 'as', 'a', 'comparison', 'classification', '.', 'Based', 'on', 'the', 'test', 'results', 'with', '2500', 'training', 'data', 'and', '100', 'test', 'data', 'on', 'the', 'imbalanced', 'dataset', '(', '25', '%', 'spam', 'and', '75', '%', 'non-spam', ')', ',', 'the', 'CNB', 'accuracy', 'was', '92', '%', ',', 'precision', '86', '%', 'and', 'f-measure', '93', '%', '.', 'Whereas', 'SVM', 'produces', '87', '%', 'accuracy', ',', '79', '%', 'precision', ',', '88', '%', 'f-measure', '.', 'In', 'conclusion', ',', 'the', 'CNB', 'method', 'is', 'more', 'suitable', 'for', 'detecting', 'spam', 'comments', 'in', 'cases', 'of', 'imbalanced', 'datasets', '.']"
3,"['E-Government', 'basically', 'comprises', 'the', 'use', 'of', 'electronic', 'communications', 'technologies', 'such', 'as', 'the', 'internet', ',', 'in', 'enhancing', 'and', 'advancing', 'the', 'citizens', 'access', 'to', 'public', 'services', '.', 'In', 'most', 'developing', 'countries', 'including', 'Burundi', ',', 'citizens', 'are', 'facing', 'many', 'difficulties', 'for', 'accessing', 'public', 'services', '.', 'One', 'of', 'the', 'identified', 'problems', 'is', 'the', 'poor', 'quality', 'of', 'service', 'in', 'managing', 'citizens', '’', 'complaints', '.', 'This', 'study', 'proposes', 'an', 'SMS', 'and', 'web', 'based', 'e-Government', 'Model', 'as', 'a', 'solution', '.', 'In', 'this', 'study', ',', 'a', 'case', 'study', 'of', 'a', 'complaint', 'management', 'system', 'at', 'District', 'of', 'Gihosha', 'has', 'been', 'used', 'as', 'a', 'reference', 'to', 'prove', 'that', 'SMS', 'and', 'Web', 'based', 'e-Government', 'Model', 'can', 'enhances', 'the', 'access', 'of', 'public', 'services', '.', 'The', 'objective', 'of', 'this', 'study', 'is', 'the', 'development', 'of', 'an', 'SMS', 'and', 'web-based', 'system', 'that', 'can', 'enhances', 'the', 'process', 'and', 'the', 'management', 'of', 'citizens', '’', 'complaints', 'at', 'District', 'of', 'Gihosha', '.', 'The', 'system', 'has', 'been', 'developed', 'using', 'PHP', 'as', 'front', 'end', ',', 'Apache', 'as', 'web', 'server', ',', 'MySQL', 'as', 'Database', 'and', 'Gammu', 'as', 'SMS', 'gateway', '.', 'The', 'obtained', 'results', 'after', 'testing', 'the', 'system', 'shows', 'that', 'all', 'the', 'functionalities', 'of', 'the', 'developed', 'system', 'worked', 'properly', '.', 'Thus', ',', 'the', 'SMS', 'and', 'web', 'based', 'complaint', 'management', 'system', 'developed', 'is', 'considered', 'to', 'be', 'effective', '.']"
4,"['Hate', 'speech', 'develops', 'along', 'with', 'the', 'rapid', 'development', 'of', 'social', 'media', '.', 'Hate', 'speech', 'is', 'often', 'issued', 'due', 'to', 'a', 'lack', 'of', 'public', 'awareness', 'of', 'the', 'difference', 'between', 'criticism', 'and', 'statements', 'that', 'might', 'contribute', 'to', 'this', 'crime', '.', 'Therefore', ',', 'it', 'is', 'very', 'important', 'to', 'do', 'early', 'detection', 'of', 'sentences', 'that', 'will', 'be', 'written', 'before', 'causing', 'a', 'criminal', 'act', 'due', 'to', 'public', 'ignorance', '.', 'In', 'this', 'paper', ',', 'we', 'use', 'the', 'advancement', 'of', 'deep', 'neural', 'networks', 'to', 'predict', 'whether', 'a', 'sentence', 'contains', 'a', 'hate', 'speech', 'and', 'abusive', 'tone', '.', 'We', 'demonstrate', 'the', 'robustness', 'of', 'different', 'word', 'and', 'contextual', 'embedding', 'to', 'represent', 'the', 'semantic', 'of', 'hate', 'speech', 'words', '.', 'In', 'addition', ',', 'we', 'use', 'a', 'document', 'embedding', 'representation', 'via', 'a', 'recurrent', 'neural', 'networks', 'with', 'gated', 'recurrent', 'unit', 'as', 'the', 'main', 'architecture', 'to', 'provide', 'richer', 'representation', '.', 'Compared', 'to', 'syntactic', 'representation', 'of', 'the', 'previous', 'approach', ',', 'the', 'contextual', 'embedding', 'in', 'our', 'model', 'proved', 'to', 'give', 'a', 'significant', 'boost', 'on', 'the', 'performance', 'by', 'a', 'significant', 'margin', '.']"
5,"['The', 'using', 'of', 'Twitter', 'by', 'selebrities', 'has', 'become', 'a', 'new', 'trend', 'of', 'impression', 'management', 'strategy', '.', 'Mining', 'public', 'reaction', 'in', 'social', 'media', 'is', 'a', 'good', 'strategy', 'to', 'obtain', 'feedbacks', ',', 'but', 'extracting', 'it', 'are', 'not', 'trivial', 'matter', '.', 'Reads', 'hundred', 'of', 'tweets', 'while', 'determine', 'their', 'sentiment', 'polarity', 'are', 'time', 'consuming', '.', 'Extractive', 'sentiment', 'summarization', 'machine', 'are', 'needed', 'to', 'address', 'this', 'issue', '.', 'Previous', 'research', 'generally', 'do', 'not', 'include', 'sentiment', 'information', 'contained', 'in', 'a', 'tweet', 'as', 'weight', 'factor', ',', 'as', 'a', 'results', 'only', 'general', 'topics', 'of', 'discussion', 'are', 'extracted', '.', 'This', 'research', 'aimed', 'to', 'do', 'an', 'extractive', 'sentiment', 'summarization', 'on', 'both', 'positive', 'and', 'negative', 'sentiment', 'mentioning', 'Indonesian', 'selebrity', ',', 'Agnes', 'Monica', ',', 'by', 'combining', 'SentiStrength', ',', 'Hybrid', 'TF-IDF', ',', 'and', 'Cosine', 'Similarity', '.', 'SentiStrength', 'is', 'used', 'to', 'obtain', 'sentiment', 'strength', 'score', 'and', 'classify', 'tweet', 'as', 'a', 'positive', ',', 'negative', 'or', 'neutral', '.', 'The', 'summarization', 'of', 'posisitve', 'and', 'negative', 'sentiment', 'can', 'be', 'done', 'by', 'rank', 'tweets', 'using', 'Hybrid', 'TF-IDF', 'summarization', 'and', 'sentiment', 'strength', 'score', 'as', 'additional', 'weight', 'then', 'removing', 'similar', 'tweet', 'by', 'using', 'Cosine', 'Similarity.The', 'test', 'results', 'showed', 'that', 'the', 'combination', 'of', 'SentiStrength', ',', 'Hybrid', 'TF-IDF', ',', 'and', 'Cosine', 'Similarity', 'perform', 'better', 'than', 'using', 'Hybrid', 'TF-IDF', 'only', ',', 'given', 'an', 'average', '60', '%', 'accuracy', 'and', '62', '%', 'f-measure', '.', 'This', 'is', 'due', 'to', 'the', 'addition', 'of', 'sentiment', 'score', 'as', 'a', 'weight', 'factor', 'in', 'sentiment', 'summ\xadari\xadzation', '.']"
6,"['Social', 'media', 'has', 'changed', 'the', 'people', 'mindset', 'to', 'express', 'thoughts', 'and', 'moods', '.', 'As', 'the', 'activity', 'of', 'social', 'media', 'users', 'increases', ',', 'it', 'does', 'not', 'rule', 'out', 'the', 'possibility', 'of', 'crimes', 'of', 'spreading', 'hate', 'speech', 'can', 'spread', 'quickly', 'and', 'widely', '.', 'So', 'that', 'it', 'is', 'not', 'possible', 'to', 'detect', 'hate', 'speech', 'manually', '.', 'GRU', 'is', 'one', 'of', 'the', 'deep', 'learning', 'methods', 'that', 'has', 'the', 'ability', 'to', 'learn', 'information', 'relations', 'from', 'the', 'previous', 'time', 'to', 'the', 'present', 'time', '.', 'In', 'this', 'research', 'feature', 'extraction', 'used', 'is', 'word2vec', ',', 'because', 'it', 'has', 'the', 'ability', 'to', 'learn', 'semantics', 'between', 'words', '.', 'In', 'this', 'research', 'the', 'GRU', 'performance', 'will', 'be', 'compared', 'with', 'other', 'supervision', 'methods', 'such', 'as', 'support', 'vector', 'machine', ',', 'naive', 'bayes', ',', 'decision', 'tree', 'and', 'logistic', 'regression', '.', 'The', 'results', 'obtained', 'show', 'that', 'the', 'best', 'accuracy', 'is', '92.96', '%', 'by', 'the', 'GRU', 'model', 'with', 'word2vec', 'feature', 'extraction', '.', 'The', 'use', 'of', 'word2vec', 'in', 'the', 'comparison', 'supervision', 'method', 'is', 'not', 'good', 'enough', 'from', 'tf', 'and', 'tf-idf', '.']"
7,"['Batik', 'is', 'the', 'most', 'popular', 'tradisional', 'cloth', 'made', 'using', 'the', 'wax-resist', 'dyeing', 'technique', '.', 'The', 'fabric', 'is', 'found', 'in', 'various', 'city', 'in', 'Indonesia', ',', 'one', 'of', 'them', 'is', 'Lasem', 'which', 'popular', 'with', 'hand-drawn', 'batik', 'is', 'called', 'Batik', 'Tulis', 'Lasem', '.', 'Natural', 'dye', 'selection', 'is', 'one', 'of', 'the', 'most', 'important', 'priority', 'for', 'the', 'batik', 'tulis', 'craftsmen', '.', 'Natural', 'dyes', 'made', 'from', 'leaves', 'and', 'flowers', '.', 'Proper', 'selection', 'of', 'natural', 'dye', 'will', 'impact', 'on', 'color', ',', 'motif', ',', 'and', 'brightness', 'on', 'batik', 'tulis', 'fabric', '.', 'AHP', 'and', 'TOPSIS', 'methods', 'can', 'be', 'used', 'together', 'to', 'selecting', 'natural', 'dye', 'especially', 'the', 'batik', 'tulis', 'lasem', '.', 'AHP', 'method', 'is', 'used', 'in', 'determining', 'the', 'weights', 'of', 'the', 'criteria', ',', 'and', 'then', 'TOPSIS', 'method', 'is', 'needed', 'for', 'determining', 'the', 'best', 'alternative', 'on', 'natural', 'dye', 'of', 'batik', 'tulis', '.', 'According', 'to', 'the', 'result', 'of', 'research', ',', 'TOPSIS', 'method', 'is', 'used', 'to', 'determine', 'the', 'priority', 'of', 'alternative', 'on', 'natural', 'dye', '.', 'Based', 'on', 'calculation', 'with', 'TOPSIS', 'method', ',', 'the', 'fourth', 'alternative', '(', 'A4', 'is', 'kayu', 'secang', ')', 'get', 'priority', 'value', 'is', '0.8478', ',', 'so', 'kayu', 'secang', 'is', 'recommended', 'to', 'the', 'craftsmen', 'that', 'will', 'used', 'this', 'material', 'as', 'the', 'natural', 'dye', '.']"
8,"['Movie', 'has', 'unique', 'characteristics', '.', 'When', 'someone', 'writes', 'an', 'opinions', 'about', 'a', 'movie', ',', 'not', 'only', 'the', 'story', 'in', 'the', 'movie', 'itself', 'is', 'written', ',', 'but', 'also', 'the', 'people', 'involved', 'in', 'the', 'movie', 'are', 'also', 'written', '.', 'Opinion', 'ordinary', 'movie', 'written', 'in', 'social', 'media', 'primarily', 'twitter.To', 'get', 'a', 'tendency', 'of', 'opinion', 'on', 'the', 'movie', ',', 'whether', 'opinion', 'is', 'likely', 'positive', ',', 'negative', 'or', 'neutral', ',', 'it', 'takes', 'a', 'sentiment', 'analysis', '.', 'This', 'study', 'aims', 'to', 'classify', 'the', 'sentiment', 'is', 'positive', ',', 'negative', 'and', 'neutral', 'from', 'opinions', 'Indonesian', 'language', 'movie', 'and', 'look', 'for', 'the', 'accuracy', ',', 'precission', ',', 'recall', 'and', 'f-meausre', 'of', 'the', 'method', 'used', 'is', 'Dynamic', 'Convolutional', 'Neural', 'Network', '.', 'The', 'test', 'results', 'on', 'a', 'system', 'that', 'is', 'built', 'to', 'show', 'that', 'Dynamic', 'Convolutional', 'Neural', 'Network', 'algorithm', 'provides', 'accuracy', 'results', 'better', 'than', 'Naive', 'Bayes', 'method', ',', 'the', 'value', 'of', 'accuracy', 'of', '80,99', '%', ',', 'the', 'value', 'of', 'precission', '81,00', '%', ',', 'recall', '81,00', '%', ',', 'f-measure', '79,00', '%', 'while', 'the', 'value', 'of', 'the', 'resulting', 'accuracy', 'Naive', 'Bayes', 'amounted', 'to', '76,21', '%', ',', 'precission', '78,00', '%', ',', 'recall', '76,00', '%', ',', 'f-measure', '75,00', '%', '.']"
9,"['The', 'promotion', 'of', 'goods', 'or', 'services', 'is', 'now', 'facilitated', 'by', 'the', 'dissemination', 'of', 'information', 'through', 'Instagram', '.', 'Dissemination', 'of', 'information', 'is', 'usually', 'done', 'by', 'influencers', 'or', 'promotional', 'accounts', '.', 'The', 'account', 'used', 'certainly', 'has', 'a', 'lot', 'of', 'followers', '.', 'Because', 'of', 'the', 'large', 'amount', 'of', 'follower', 'data', 'in', 'that', 'account', ',', 'it', 'can', 'be', 'grouped', 'into', 'the', 'same', 'characters', '.', 'This', 'is', 'done', 'to', 'determine', 'the', 'potential', 'for', 'promotion', 'using', 'social', 'media', 'accounts', '.', 'This', 'study', 'uses', 'data', 'from', '2', 'popular', 'accounts', '.', 'The', 'first', 'account', 'is', 'an', 'artist', 'with', 'the', 'username', 'ayutingting92', '.', 'The', 'second', 'account', 'is', 'Infounjaya', ',', 'the', 'official', 'promotion', 'account', 'from', 'Jenderal', 'Achmad', 'Yani', 'University', ',', 'Yogyakarta', '.', 'The', 'results', 'of', 'grouping', 'can', 'divide', 'follower', 'data', 'into', 'two', 'cluster', 'groups', 'with', 'different', 'interactions', '.', 'The', 'basic', 'difference', 'between', 'the', 'two', 'groups', 'is', 'the', 'number', 'of', 'likes', 'and', 'comments', '.', 'The', 'infounjaya', 'account', 'analysis', 'results', 'showed', 'that', 'of', '4,906', 'followers', ',', 'only', '3,211', 'followers', 'were', 'actively', 'involved', 'in', 'the', 'interaction', ',', '1,695', 'followers', 'were', 'passive', 'followers', 'who', 'did', 'not', 'like', 'or', 'did', 'not', 'comment', 'on', 'the', 'interaction', '.', 'Meanwhile', ',', 'the', 'results', 'of', 'the', 'ayutingting92', 'follower', 'cluster', 'show', 'that', 'out', 'of', '1', 'million', 'sample', 'data', 'followers', ',', 'only', '13,591', 'followers', 'were', 'actively', 'involved', 'in', 'the', 'interaction', 'of', 'likes', 'and', 'comments', ',', '986,409', 'were', 'passive', 'followers', '.']"
